str:bruno jose maria  int:-10 -4 4  float:-0.00 3.00 9.00  p:(3.8,1.3) (-4.8,-4.2) 
str:ana clara lucas paula  int:-10 1 3  float:-5.50 -1.60 -0.20  p:(3.4,0.9) (1.1,3.9) 
str:ana bruno joao juliana  int:-9 -4 7  float:-8.60 0.30  p:(-2.3,4.0) (5.0,1.4) 
str:joao joao jose  int:-9 0 6 9  float:-5.70 3.80 6.10  p:(3.2,-4.3) 
str:bruno carlos joao rafaela  int:9 9  float:-2.70 6.70  p:(2.8,0.1) (-3.4,2.2) 
str:bruno clara  int:6 7  float:9.50  p:(-1.2,-0.5) (-1.9,-4.7) 
str:lucas rafaela  int:-10 1  float:-5.60 0.30 0.90  p:(-1.8,0.5) (5.0,2.8) 
str:clara henrique paula paula  int:-8 10  float:-2.30 -2.00  p:(3.5,0.6) 
str:clara joao juliana rafaela  int:-1 7  float:-9.20 1.40 4.40  p:(1.5,1.0) 
str:jose jose maria  int:-10 -10  float:4.90 6.70 9.00  p:(-2.1,0.4) (3.4,3.6) 
str:ana ana clara clara  int:-7 9  float:-5.00 0.80 1.40  p:(-0.0,4.8) 
str:henrique joao juliana  int:-9 -9 3  float:8.50 9.90  p:(1.6,2.4) 
str:bruno rafaela  int:-7 -4 7 8  float:-5.90 5.80  p:(2.1,2.9) (4.8,4.3) 
str:ana ana clara juliana  int:1 7  float:-7.00 -5.60  p:(-4.2,-4.6) 
str:jose lucas  int:-7 -4 -1 3  float:-4.40  p:(-0.7,1.7) (-0.2,4.9) 
str:julia maria rafaela  int:-9 -4 -1  float:-7.00  p:(1.4,-2.3) (4.8,-3.5) 
str:carlos clara joao maria  int:-9 -4 -2 2  float:-2.00 -1.10 3.80  p:(1.7,2.1) 
str:ana bruno rafaela  int:-8 -6 2 2  float:-4.20 1.00  p:(3.7,-2.0) 
str:ana maria  int:-6 -5 -5  float:-9.40  p:(-1.6,-2.2) 
str:clara julia paula  int:-5 -5 3 4  float:5.70  p:(-3.0,4.1) 
str:clara joao maria paula  int:-4 0 6  float:-9.60 7.00  p:(-1.9,3.1) 
str:henrique joao paula  int:-4 6 8  float:-7.40  p:(1.9,4.6) (4.2,-3.0) 
str:ana bruno carlos lucas  int:3 6  float:-7.80 0.50 5.90  p:(-3.2,-1.1) (4.2,-3.2) 
str:ana lucas  int:6 8  float:-8.80 6.90 9.50  p:(-1.2,-3.9) (0.5,4.4) 
str:clara lucas rafaela  int:-3 8  float:-8.80 -6.90 -5.40  p:(0.4,0.1) 
str:bruno julia lucas  int:-10 -4  float:6.40  p:(2.1,-1.6) (-4.7,-2.4) 
str:clara henrique jose  int:-9 -6 -2 9  float:0.60  p:(-2.6,-3.2) (2.9,-3.1) 
str:carlos henrique  int:-1 2  float:-5.40 -4.70  p:(-2.2,2.0) 
str:carlos clara lucas  int:1 9  float:-3.30 3.80 5.10  p:(1.1,-2.5) (-1.1,2.5) 
str:joao paula rafaela  int:-9 -7 7  float:-9.80 -6.80 -4.70  p:(-2.0,-3.6) (-5.0,2.4) 
str:joao rafaela  int:-8 -3  float:5.90 7.40 7.90  p:(4.6,-1.6) (1.8,4.8) 
str:jose jose maria rafaela  int:-7 -6 8  float:7.50  p:(-4.6,2.0) (-1.9,-5.0) 
str:jose julia  int:-7 -2  float:-7.00  p:(3.3,-0.7) 
str:joao lucas  int:-8 -7 2  float:7.00  p:(2.5,-0.2) (2.8,0.9) 
str:clara maria  int:-3 -3  float:6.70 9.20  p:(1.7,-3.3) 
str:bruno henrique lucas lucas  int:-3 1  float:-8.50 0.00  p:(2.7,-1.7) (0.0,-3.8) 
str:ana bruno joao paula  int:-1 4  float:-4.00  p:(-1.9,-2.1) 
str:carlos jose paula  int:-3 -1 5 6  float:-5.50  p:(-1.8,-1.5) (1.1,-3.4) 
str:joao juliana juliana lucas  int:-8 0  float:0.70 8.20  p:(-1.2,-4.4) 
str:maria rafaela  int:-2 3 5 10  float:4.40  p:(-1.3,-1.8) (3.7,-4.6) 
str:clara jose jose julia  int:2 8  float:-6.20 -4.50 1.70  p:(3.0,-1.0) (-3.1,2.7) 
str:ana joao juliana maria  int:-5 -2 2  float:-2.10 1.90  p:(1.6,-4.5) 
str:bruno julia paula  int:0 6  float:-9.30 -5.40 -2.20  p:(2.5,-1.4) 
str:clara clara clara jose  int:-5 -4 -3 8  float:6.20  p:(-2.0,0.7) 
str:henrique juliana  int:-8 -2 2 3  float:-1.80 8.60  p:(-1.6,0.1) 
str:carlos henrique lucas  int:2 4 5  float:-1.50 -0.40 6.20  p:(1.5,-1.2) (-3.7,-2.4) 
str:carlos joao  int:-8 3 9  float:-5.50 5.60  p:(-3.8,-0.9) (-4.1,3.0) 
str:jose julia  int:-8 -5  float:-6.30 -3.30 -0.80  p:(-3.1,2.4) (3.0,-3.3) 
str:carlos paula rafaela  int:1 6  float:-6.90 7.50  p:(-1.9,-3.5) 
str:clara paula paula  int:-10 -2  float:-3.60 -0.60  p:(2.3,-4.7) 
str:julia maria  int:-8 7 9 10  float:7.70  p:(0.7,-3.4) (0.7,-3.8) 
str:juliana juliana lucas lucas  int:-2 -1  float:-9.30 3.60 4.40  p:(2.6,2.4) (3.4,2.1) 
str:ana clara jose julia  int:-4 1 4 4  float:-6.70 -0.70 9.90  p:(-0.6,0.5) 
str:carlos carlos clara maria  int:-10 -7 3 6  float:-0.70  p:(0.5,-0.3) 
str:bruno paula  int:-7 -2 1 4  float:3.20 8.20  p:(0.0,3.0) 
str:carlos lucas  int:-7 -4  float:-2.20 1.30  p:(-3.6,-2.9) 
str:rafaela rafaela  int:-5 6  float:-5.60 -2.00 6.40  p:(3.4,1.5) 
str:carlos julia julia rafaela  int:-7 -6 -1 7  float:-2.10 9.20 9.90  p:(3.3,0.5) (-4.5,1.5) 
str:carlos clara juliana lucas  int:-6 -4 0 7  float:-2.00 -0.30  p:(1.4,-1.5) (-3.7,1.2) 
str:clara clara  int:-9 1  float:6.00 9.10  p:(-0.2,-3.4) 
str:clara joao jose julia  int:-3 -3  float:-8.00 -5.20  p:(-1.3,-3.0) (4.3,4.8) 
str:bruno bruno carlos juliana  int:-8 4  float:-7.20  p:(-0.8,0.3) (3.0,-4.0) 
str:carlos clara henrique  int:-9 -1 0 10  float:5.20 5.40  p:(0.6,1.7) (1.1,-3.2) 
str:bruno joao paula  int:-9 -8 3 4  float:3.30 7.60  p:(2.4,-2.7) 
str:bruno jose jose paula  int:-5 -2 1 3  float:-5.50  p:(2.2,2.0) (-3.6,1.8) 
str:bruno jose  int:-10 -9 -5 7  float:-4.50  p:(4.1,-3.2) 
str:ana paula paula rafaela  int:-9 4  float:-4.00  p:(-2.1,-1.4) 
str:lucas rafaela  int:-4 -4 6  float:-8.20  p:(-4.5,-3.9) 
str:joao jose maria paula  int:-1 7  float:1.90  p:(3.8,0.3) 
str:ana carlos henrique rafaela  int:-5 3 5  float:-9.90 3.00  p:(-2.5,-0.8) (-2.8,4.2) 
str:clara joao  int:-9 -4 1  float:-8.70 -5.00 -1.50  p:(2.6,-3.5) 
str:bruno lucas lucas maria  int:-4 -4 0  float:6.10  p:(0.5,-0.8) 
str:clara jose  int:3 8 9  float:4.80  p:(-1.1,-2.8) (-3.0,-2.1) 
str:bruno maria paula  int:-9 -4 2  float:4.40 8.90 10.00  p:(-1.8,-4.1) (-4.7,1.0) 
str:ana henrique joao lucas  int:-7 -6 -5  float:-4.40  p:(0.7,-2.3) (-4.5,-2.1) 
str:clara jose maria  int:-6 3 8  float:-3.40 1.00  p:(3.2,-1.9) (-2.2,4.0) 
str:bruno bruno carlos paula  int:7 8 8  float:-5.80 4.50  p:(3.4,-0.3) 
str:joao maria maria  int:0 3  float:0.50  p:(-0.3,-3.7) (-4.6,-1.2) 
str:carlos juliana lucas maria  int:-10 -4 -3  float:8.00 8.00  p:(-2.1,2.7) 
str:clara lucas  int:-10 1 4 10  float:5.50 7.70  p:(-0.5,-2.3) 
str:henrique julia paula  int:-9 2  float:0.20  p:(-3.6,0.0) 
str:julia juliana  int:-5 10  float:-7.50 -6.30 5.50  p:(-0.7,4.4) 
str:juliana lucas lucas  int:4 5 10  float:-2.70 -0.50 7.40  p:(3.4,-2.2) (0.7,-4.3) 
str:carlos henrique  int:8 9  float:-5.60 -5.30  p:(-1.0,2.1) (-4.0,4.9) 
str:bruno juliana  int:-3 8 9  float:1.80 7.50  p:(-2.7,-1.7) (0.2,-4.9) 
str:henrique jose lucas  int:-6 -5 -4 -3  float:-1.70  p:(-2.6,-0.2) (-3.1,4.1) 
str:joao maria paula rafaela  int:-7 -4 -3 -1  float:-2.60 9.80  p:(0.6,-1.1) (-0.7,4.5) 
str:clara henrique juliana rafaela  int:-3 8  float:-6.60 2.90  p:(2.1,-3.4) 
str:ana carlos clara julia  int:-2 0 9  float:2.20  p:(3.9,-0.8) (4.4,2.1) 
str:carlos julia  int:-10 6  float:-2.50 6.60 7.40  p:(-2.2,-4.4) (-5.0,3.8) 
str:lucas paula  int:-7 1  float:6.70  p:(-2.1,1.1) 
str:ana jose  int:-9 -4  float:-2.10 0.60 9.80  p:(-0.3,-4.9) (4.7,-2.0) 
str:ana joao  int:-5 -3  float:0.70  p:(-3.9,-0.4) (1.6,-4.5) 
str:clara henrique maria  int:-5 2 5 10  float:-2.80 0.10  p:(2.0,-3.0) (-2.3,3.6) 
str:joao lucas  int:-9 -4 -4 6  float:-0.20  p:(2.3,3.3) 
str:carlos henrique  int:-4 -2 5 7  float:1.20 2.00 7.60  p:(-2.7,4.3) 
str:juliana juliana  int:-6 -3 -1 1  float:-9.60 7.30  p:(-3.2,-2.1) 
str:jose lucas maria rafaela  int:-8 -6 -1 2  float:-3.00 2.90  p:(-1.7,2.8) (-3.5,-3.5) 
str:bruno julia  int:-8 4 5  float:-6.60 -2.70 2.90  p:(0.3,-3.9) (1.6,4.6) 
str:ana carlos juliana lucas  int:-8 0 6  float:-0.80  p:(3.3,-1.8) (4.3,-4.9) 
str:paula rafaela  int:-3 1 6 7  float:8.30  p:(-2.2,-1.6) (-1.1,-4.2) 
str:ana ana  int:-7 0 5  float:-8.80  p:(1.5,-0.5) 
str:bruno bruno juliana paula  int:1 3 5  float:-3.70 4.90  p:(3.9,-0.5) (3.1,-3.8) 
str:ana juliana lucas  int:-5 1 5  float:-9.80 -1.30 9.10  p:(0.3,2.1) 
str:carlos carlos  int:-10 -5 -4  float:-7.70 1.60 5.40  p:(1.4,1.9) 
str:bruno lucas  int:-6 4 7  float:-8.00 6.60  p:(0.0,-3.4) (4.0,2.7) 
str:henrique joao jose paula  int:-10 -2 7  float:8.70 9.50 9.50  p:(-2.0,2.1) 
str:bruno clara henrique joao  int:-9 -1 0 3  float:1.90 8.40  p:(4.4,0.9) (-4.9,-2.3) 
str:julia lucas  int:-9 -9 2  float:-1.80 -1.80  p:(0.2,-3.7) 
str:carlos jose juliana lucas  int:1 9 9  float:-3.60 -1.50 0.40  p:(1.5,-1.8) 
str:ana bruno carlos  int:-8 2 3 10  float:-6.50 2.70 9.10  p:(-1.7,2.0) 
str:carlos lucas maria  int:-5 -2 2 3  float:-4.10 -3.50 8.90  p:(-0.3,-3.1) (4.1,-3.2) 
str:henrique julia  int:-7 9  float:-0.10 1.60 9.00  p:(-2.5,-2.2) (-4.6,-3.7) 
str:bruno bruno maria  int:-9 2  float:-9.30 -7.20 0.20  p:(-2.2,1.2) (-2.8,1.3) 
str:ana joao juliana  int:-8 -5 6  float:-8.20 -5.60 -2.00  p:(-3.7,-2.3) (4.7,-1.6) 
str:bruno rafaela  int:-3 9  float:-2.40 1.00  p:(-2.1,-1.0) 
str:clara clara  int:-10 -6 2 9  float:-6.30 -5.00  p:(3.4,0.3) (-2.1,3.5) 
str:paula rafaela  int:-5 5  float:9.90  p:(-2.3,3.2) 
str:bruno bruno  int:-9 6  float:-5.80 -0.70 4.30  p:(-3.7,1.0) (3.4,-3.0) 
str:henrique jose jose  int:-10 -1 10  float:-7.40 2.70  p:(-2.8,1.9) 
str:henrique jose  int:-7 -4  float:-4.20 -1.30 5.00  p:(3.8,-0.9) 
str:clara paula  int:-8 -3 4 9  float:-5.10 1.70 2.60  p:(-1.4,-1.6) (2.5,-0.1) 
str:bruno joao maria  int:-9 -2 0  float:-4.70 -4.60 5.80  p:(1.9,-2.5) (2.6,-2.7) 
str:ana ana paula  int:-4 -4 -2 5  float:-9.60 -3.60 8.80  p:(0.5,-3.1) 
str:lucas paula paula rafaela  int:-7 2  float:0.10 9.40  p:(-0.3,0.8) (3.0,1.9) 
str:joao jose lucas maria  int:-3 7  float:-4.90 -3.00 -2.40  p:(-1.0,-2.5) (3.7,-1.1) 
str:bruno jose lucas  int:-2 1 5 6  float:1.40 3.70  p:(2.6,-0.4) 
str:bruno henrique joao paula  int:-1 2 5  float:-7.30  p:(-2.2,4.4) (4.9,3.3) 
str:juliana paula  int:-1 5  float:9.60  p:(-4.9,-4.1) 
str:henrique joao  int:-9 -2 4 8  float:-6.90 -0.30 8.90  p:(-2.2,1.7) 
str:jose lucas lucas  int:-3 2  float:-8.70 -8.70 9.10  p:(-3.6,-3.1) 
str:ana jose jose  int:-10 -8 -5 3  float:9.10  p:(3.6,0.3) (-3.2,-2.3) 
str:henrique henrique henrique maria  int:-7 0 5  float:-5.90 -3.20  p:(1.2,4.1) 
str:ana joao lucas lucas  int:-7 -5 5  float:-7.90 7.00  p:(-1.5,2.2) (1.5,-4.3) 
str:bruno clara paula  int:-4 10  float:-8.60 5.70 6.80  p:(1.4,-2.2) 
str:joao jose rafaela  int:-7 2 7  float:-9.40 7.20  p:(-2.6,-0.2) 
str:henrique julia lucas paula  int:-9 -6 -5 5  float:-3.50 1.10 8.70  p:(-0.8,3.2) (3.6,1.3) 
str:ana juliana  int:-5 3 8 9  float:-9.60 -7.20  p:(-2.7,4.1) 
str:henrique juliana  int:-5 -3 -2 2  float:-9.40 0.90 7.30  p:(0.7,-3.2) (2.4,4.3) 
str:julia maria  int:-7 -4  float:-6.80 -4.10 1.10  p:(-0.1,1.8) (2.9,4.5) 
str:carlos jose juliana lucas  int:3 5  float:-7.50 -2.40  p:(2.7,1.8) (3.3,4.5) 
str:ana clara joao rafaela  int:1 10  float:-5.00 2.10 8.60  p:(-0.3,-1.9) (3.5,-2.5) 
str:juliana juliana  int:-2 5 5  float:-0.80 2.10  p:(0.3,-0.8) (-1.9,1.2) 
str:carlos clara lucas  int:-9 -2  float:0.60  p:(2.5,1.9) (4.0,1.5) 
str:juliana maria  int:1 6  float:-3.50 -3.00 8.00  p:(-4.6,-0.9) 
str:clara maria maria maria  int:7 8  float:-0.30 1.30 7.30  p:(0.8,0.4) (-4.8,-0.9) 
str:carlos carlos juliana  int:-10 -6 4  float:-7.90 -7.50  p:(-1.8,4.4) 
str:bruno henrique  int:8 9 10  float:5.40  p:(0.3,-2.9) (3.2,-4.6) 
str:bruno julia juliana maria  int:-10 1  float:-1.30  p:(3.1,-1.9) (4.3,3.7) 
str:bruno carlos jose lucas  int:9 9  float:2.10  p:(-1.0,3.4) (-2.0,3.1) 
str:bruno paula  int:-8 -3 9  float:-8.90  p:(1.9,3.3) (3.4,3.0) 
str:jose juliana maria  int:-9 -6 -3 4  float:-7.80 -6.90  p:(1.5,1.1) (3.3,-3.6) 
str:clara lucas maria  int:-9 1  float:3.20 4.30 9.60  p:(-3.7,-0.2) (-1.9,-3.9) 
str:jose maria  int:-5 3 9 10  float:1.60  p:(-0.3,1.6) 
str:bruno bruno juliana  int:-10 -9 2 2  float:-8.20  p:(-2.9,0.6) (-3.7,0.1) 
str:carlos rafaela  int:-9 -7 1 10  float:-8.80 -8.70 6.50  p:(1.9,3.6) (-4.3,1.9) 
str:jose maria paula paula  int:-2 3 5 8  float:7.70  p:(-2.9,-1.7) (4.1,2.2) 
str:juliana paula  int:-10 -7 -4 -1  float:-7.20 -5.00  p:(1.5,1.1) (-1.7,-4.6) 
str:bruno clara henrique lucas  int:0 0 3 8  float:-7.30 1.40  p:(1.7,-1.8) (1.1,2.9) 
str:henrique lucas maria paula  int:-8 2 5  float:-6.20  p:(0.8,2.1) (2.9,-1.7) 
str:carlos carlos maria  int:-9 -9 1 9  float:-7.20  p:(0.6,1.1) (2.6,2.8) 
str:carlos joao julia rafaela  int:-7 0 4 8  float:-9.80 4.30 8.80  p:(0.9,-4.3) (1.7,4.7) 
str:carlos clara henrique  int:-4 1  float:-0.70 0.10  p:(-0.7,0.6) 
str:jose maria rafaela rafaela  int:-9 -7 1 4  float:-3.10  p:(2.2,3.2) 
str:clara jose paula paula  int:-1 7  float:0.20 2.20  p:(2.8,1.0) 
str:jose juliana rafaela  int:-8 -6 7  float:-8.40 -4.20  p:(3.6,0.0) 
str:bruno carlos carlos juliana  int:-7 7  float:-4.30 -2.70 9.90  p:(-2.1,2.5) (-2.1,-5.0) 
str:ana lucas paula paula  int:-2 3  float:-0.10  p:(4.2,1.1) 
str:bruno maria paula rafaela  int:-7 -5 6 6  float:-0.90 5.20  p:(0.1,3.8) (4.5,-4.2) 
str:clara clara julia  int:-6 -3  float:9.10  p:(-4.9,-1.9) 
str:joao maria  int:-10 -8 -4 1  float:-6.60 2.10 6.10  p:(-4.5,-2.4) (3.5,-3.9) 
str:ana clara juliana  int:-9 -6 -5 4  float:-7.10  p:(1.4,1.0) (-2.7,1.9) 
str:clara joao joao julia  int:-8 6 10  float:-8.60 -6.10  p:(4.9,-3.4) 
str:carlos paula  int:-10 0 4 5  float:4.80  p:(1.7,4.4) (4.9,-4.7) 
str:ana julia maria  int:-6 2 5 7  float:9.10  p:(-0.3,2.6) (3.0,-0.9) 
str:bruno paula  int:-5 7  float:0.60 9.50  p:(0.5,-0.3) (-3.4,3.0) 
str:jose lucas rafaela  int:-5 9  float:4.50  p:(-2.3,-1.0) (0.3,4.9) 
